#ORF	Ave. SD
YER042W	82.2
YER043C	3935.0
YER044C	
YER047C	
YER048W-A	624.4
YER049W	
YER052C	1806.5
YER053C	194.0
YER053C-A	755.7
YER054C	
YER056C	2590.5
YER056C-A	2967.5
YER059W	95.0
YER061C	82.5
YER062C	372.5
YER063W	
YER064C	
YER067W	511.6
YER068W	354.0
YER069W	1006.5
YER070W	22099.0
YER071C	
YER072W	184.0
YER073W	784.0
YER074W	2193.5
YER075C	
YER077C	
YER078C	70.0
YER079W	58.0
YER080W	189.5
YER081W	2307.5
YER083C	127.0
YER084W	49.5
YER086W	523.0
YER087C-A	
YER088C	93.0
YER089C	291.5
YER090W	953.5
YER091C	11653.0
YER092W	60.2
YER095W	318.5
YER098W	
YER099C	83.5
YER100W	
YER101C	
YER102W	3715.3
YER103W	
YER104W	
YER105C	118.0
YER107C	128.0
YER110C	1454.5
YER111C	
YER112W	160.4
YER113C	120.7
YER114C	131.5
YER116C	
YER117W	708.0
YER118C	60.5
YER120W	259.5
YER122C	369.5
YER123W	138.5
YER124C	
YER126C	3927.5
YER128W	243.2
YER129W	
YER131W	3150.1
YER132C	87.0
YER133W	1597.0
YER134C	232.9
YER136W	634.5
YER139C	67.5
YER140W	
YER141W	483.5
YER142C	
YER143W	56.0
YER145C	319.0
YER147C	
YER148W	217.0
YER149C	59.0
YER150W	54.5
YER151C	498.5
YER152C	
YER153C	
YER154W	393.0
YER155C	186.5
YER156C	193.0
YER157W	78.1
YER159C	341.5
YER161C	284.5
YER162C	
YER163C	
YER164W	167.0
YER165W	5768.0
YER166W	76.3
YER167W	
YER168C	191.5
YER169W	
YER170W	
YER171W	
YER172C	
YER173W	
YER174C	
YER175C	122.0
YER176W	69.0
YER177W	3386.0
YER178W	751.0
YER182W	
YER183C	
YFL001W	
YFL002C	61.0
YFL004W	56.0
YFL006W	
YFL007W	
YFL008W	104.0
YFL010C	
YFL013C	89.0
YFL014W	668.4
YFL016C	294.0
YFL017C	
YFL017W-A	223.6
YFL018C	775.0
YFL021W	77.5
YFL023W	
YFL024C	
YFL025C	
YFL026W	361.0
YFL027C	
YFL028C	210.5
YFL029C	
YFL030W	
YFL031W	
YFL033C	
YFL034C-A	2342.0
YFL034C-B	63.5
YFL034W	
YFL036W	1307.5
YFL041W	208.0
YFL044C	
YFL045C	1144.5
YFL046W	
YFL047W	109.5
YFL048C	198.5
YFL049W	
YFL062W	
YFR001W	147.2
YFR002W	276.6
YFR004W	919.0
YFR005C	
YFR006W	53.0
YFR008W	
YFR009W	725.0
YFR010W	93.0
YFR011C	219.8
YFR013W	54.5
YFR014C	
YFR015C	179.0
YFR016C	180.5
YFR017C	94.9
YFR019W	
YFR021W	59.5
YFR024C	
YFR024C-A	318.0
YFR025C	93.5
YFR027W	
YFR028C	54.0
YFR030W	62.8
YFR031C	
YFR031C-A	2801.0
YFR032C-A	4986.4
YFR033C	409.0
YFR034C	
YFR036W	
YFR037C	224.0
YFR039C	
YFR040W	194.5
YFR041C	124.5
YFR044C	
YFR046C	
YFR047C	143.0
YFR048W	129.5
YFR049W	150.6
YFR050C	1018.0
YFR051C	706.5
YFR052W	622.0
YFR053C	
YGL001C	320.0
YGL004C	49.0
YGL005C	
YGL006W	
YGL008C	3998.6
YGL009C	2584.5
YGL010W	
YGL011C	1295.0
YGL012W	286.0
YGL013C	
YGL014W	221.0
YGL016W	92.5
YGL017W	
YGL018C	87.6
YGL019W	204.5
YGL020C	378.0
YGL021W	
YGL022W	364.3
YGL023C	
YGL025C	
YGL026C	1700.0
YGL028C	
YGL029W	310.1
YGL031C	3647.3
YGL032C	
YGL035C	54.5
YGL036W	
YGL037C	779.5
YGL038C	88.5
YGL039W	
YGL040C	348.0
YGL043W	151.5
YGL046W	58.5
YGL047W	85.7
YGL048C	645.5
YGL049C	494.5
YGL053W	48.0
YGL054C	683.5
YGL055W	343.5
YGL056C	267.5
YGL057C	
YGL058W	312.2
YGL059W	
YGL060W	76.5
YGL061C	116.0
YGL062W	1161.0
YGL064C	
YGL065C	
YGL066W	
YGL067W	85.0
YGL068W	540.2
YGL070C	448.3
YGL071W	
YGL073W	
YGL075C	99.0
YGL076C	4178.0
YGL077C	810.0
YGL078C	443.5
YGL079W	
YGL080W	148.9
YGL082W	189.0
YGL083W	57.5
YGL084C	97.5
YGL085W	
YGL086W	
YGL087C	122.8
YGL090W	
YGL091C	
YGL092W	259.7
YGL093W	
YGL094C	
YGL095C	85.0
YGL097W	374.0
YGL098W	99.0
YGL099W	294.5
YGL101W	132.5
YGL105W	1793.5
YGL107C	216.0
YGL108C	100.6
YGL110C	93.5
YGL111W	135.0
YGL112C	103.5
YGL113W	
YGL115W	235.0
YGL116W	
YGL119W	84.0
YGL120C	303.5
YGL122C	689.0
YGL124C	
YGL125W	
YGL126W	99.5
YGL127C	145.5
YGL128C	
YGL129C	153.5
YGL130W	118.0
YGL131C	
YGL133W	
YGL134W	
YGL135W	6744.5
YGL137W	995.6
YGL139W	59.0
YGL140C	59.5
YGL141W	
YGL143C	
YGL145W	79.8
YGL147C	2385.5
YGL148W	
YGL150C	88.0
YGL151W	110.5
YGL153W	114.0
YGL155W	
YGL156W	
YGL157W	293.5
YGL161C	
YGL162W	
YGL163C	
YGL164C	67.5
YGL166W	
YGL167C	538.3
YGL169W	
YGL172W	224.5
YGL173C	730.0
YGL174W	
YGL175C	
YGL178W	80.0
YGL180W	
YGL181W	143.5
YGL184C	
YGL185C	
YGL186C	114.0
YGL187C	568.0
YGL189C	8194.0
YGL190C	81.5
YGL194C	59.0
YGL195W	763.0
YGL197W	48.0
YGL200C	735.5
YGL201C	167.0
YGL202W	2156.0
YGL203C	279.9
YGL206C	1650.0
YGL207W	597.0
YGL209W	120.0
YGL210W	163.5
YGL211W	
YGL212W	100.5
YGL213C	107.0
YGL216W	79.5
YGL219C	
YGL220W	68.8
YGL221C	75.0
YGL222C	56.9
YGL223C	78.0
YGL225W	1126.0
YGL226C-A	
YGL226W	
YGL227W	
YGL229C	103.5
YGL231C	72.1
YGL232W	
YGL233W	
YGL234W	2829.0
YGL237C	
YGL238W	213.2
YGL240W	
YGL241W	
YGL244W	256.0
YGL245W	1950.5
YGL246C	124.5
YGL247W	72.3
YGL249W	
YGL250W	
YGL252C	269.5
YGL253W	6385.5
YGL254W	
YGL255W	
YGL256W	
YGR001C	498.0
