ORF Name	Intensity
YOR111W	523840000
YDR092W	50763000
YDR228C	397290000
YIR037W	8501900000
YER149C	997490000
YML062C	1509000000
YIR009W	60172000
YDR351W	183620000
YDR444W	44787000
YLL031C	384130000
YOR173W	1036200000
YFR028C	91005000
YNL077W	457830
YPR182W	243200000
YOR113W	223270000
YDL018C	299800000
YBR274W	35656000
YDL100C	21605000000
YIL095W	209610000
YMR156C	64311000
YNR012W	809560000
YPR175W	262980000
YDR214W	5911000000
YBR170C	1938000000
YPL099C	385980000
YIR033W	579880000
YJR033C	1539800000
YEL046C	27433000000
YLR006C	104840000
YMR204C	32985000
YGR080W	4945000000
YDR272W	9905100000
YFL046W	78609000
YJR132W	100530000
YDR369C	37035000
YNL181W	1603400000
YKL190W	30508000
YML115C	884070000
YBR057C	935320000
YNR043W	7665100000
YBR160W	2452300000
YHR192W	630160000
YLR116W	39413000
YDR373W	298660000
YOR074C	1714700000
YLR108C	40512000
YDL225W	6386900000
YLR418C	2690000000
YBR260C	1323500000
YKL054C	10659000000
YNL135C	77223000000
YAL044W-A	820970000
YJR046W	148940000
YJR074W	631450000
YDL006W	202830000
YML013W	358280000
YMR106C	100250000
YPL180W	877440000
YPL176C	65737000
YAL011W	50090000
YLL004W	48220000
YNL207W	787730000
YGL124C	117280000
YGR260W	250180000
YJL034W	93405000000
YPR057W	47956000
YPL125W	549270000
YDR163W	906340000
YIL119C	330080000
YFL017C	2883400000
YNR008W	216650000
YKR008W	1879000000
YFL048C	7586800000
YKL067W	7151800000
YBR195C	527260000
YNR029C	231870000
YDR089W	895220000
YKR031C	770600000
YNL328C	44410000
YML036W	508440000
YLR201C	82597000
YFL039C	2.23E+11
YIL036W	421970000
YOR174W	251920000
YDR032C	33244000000
YCR094W	81050000
YBL008W	195400000
YNL103W	554440000
YDR326C	793900000
YJL203W	971880000
YPR179C	823190000
YML108W	397420000
YLR231C	1246800000
YDR054C	527100000
YOL088C	2549600000
YDR458C	605490000
YER058W	170170000
YPR184W	634860000
YNL272C	275510000
YNL021W	559310000
YNL166C	2448100000
YNL200C	1125300000
YPL259C	214330000
YBL056W	5776800000
YAL034W-A	161410000
YEL062W	215370000
YML117W	666720000
YHR100C	25182000
YCL014W	1180000000
YDL045C	172590000
YGL169W	215580000
YGR030C	107090000
YJL186W	6673700000
YKL069W	328560000
YBR052C	747340000
YBR088C	13436000000
YOR238W	366540000
YGR098C	272510000
YBL093C	40970000
YLL015W	330700000
YNL233W	530930000
YGR006W	27429000
YDR152W	4773500000
YDR388W	8258500000
YBR105C	228830
YMR289W	65525000
YEL017W	382520000
YDL175C	165950000
YOR281C	2532500000
YLR200W	2038900000
YDL101C	830740000
YBR193C	174670000
YDR147W	601900000
YGL242C	3125500000
YEL003W	3872000000
YNL169C	781040000
YER175C	1998100000
YNR010W	47772000
YAL053W	498160000
YMR112C	511760000
YPR165W	4772000000
YFR031C	338790000
YPR037C	962960000
YBR053C	1195100000
YFR006W	1798000000
YKL206C	524440000
YKL219W	8968000
YPL203W	217200000
YMR311C	2730300000
YMR121C	28818000
YKL139W	84774000
YIL150C	88622000
YLL010C	91468000
YBL041W	3791300000
YOL006C	2813100000
YDL015C	8411100000
YMR312W	288990000
YGR171C	119650000
YBR236C	814020000
YER164W	4171900000
YKR062W	777040000
YGR102C	83550000
YBR205W	2094500000
YKL059C	260540000
YGL097W	4690700000
YDL161W	742410000
YKR002W	1195200000
YOR078W	475390000
YIL048W	182310000
YJR021C	205700
YMR287C	61562000
YGR208W	2185700000
YPL193W	147530000
YIL043C	22633000000
YDL098C	111850000
YIR022W	257220000
YDL065C	4233500000
YJR084W	341850000
YLR018C	231820000
YGL108C	336190000
YHR121W	1687600000
YJL206C	1661300
YER137C	1485000
YHR039C	2134400000
YOL071W	497320000
YJR063W	1735400000
YGR047C	244880000
YML102W	158250000
YNL037C	29673000000
YFR047C	591640000
YMR016C	201490000
YLR449W	13042000000
YGR113W	156380000
YHR005C-A	38197000
YML075C	2194200000
YPL221W	891810000
YBR198C	2285100000
YNL054W	134440000
YJL173C	1780900000
YPR070W	138440000
YNL329C	133210000
YLR345W	106190000
YHR198C	313540000
YBR234C	1605400000
YGR174C	190210000
YKL193C	6738500000
YDL226C	11232000000
YKR003W	6724500000
YBR022W	4093300000
YGR152C	85014000
YDL112W	1194500000
YNL050C	578820000
YDL149W	55319000
YGR002C	208440000
YGR178C	8791100000
YOL054W	419010000
YIL034C	3036900000
YKR046C	3007500000
YBR119W	23342000
YOR285W	16087000000
YMR058W	1706200000
YOL070C	2156400000
YCL057C-A	98544000
YKL197C	181420000
YAL005C	6.93E+11
YML092C	18453000000
YDR044W	3620700000
YCL050C	38824000000
YOR250C	387070000
YER030W	457470000
YGL110C	432540000
YNR030W	1599500000
YDR489W	72632000
YDL125C	28805000000
YML096W	69106000
YLL050C	60946000000
YPL236C	101600000
YOL096C	30917000
YDR349C	1469500
YOR116C	1733300000
YOR006C	107790000
YDR047W	1427400000
YCR045W-A	1241400
YFR038W	89245000
YGR135W	11588000000
YDR358W	1454300000
YNL218W	204740000
YBR111C	5779700000
YHL003C	479810000
YBL035C	1053500000
YKR068C	1457600000
YBR011C	1.81E+11
YDR320C	1171900000
YPR028W	19046000000
YGR275W	1046500000
YNR024W	236190000
YML095C	11480000
