#ORF	Ave. YEPD
YGL105W	2485.5
YGL107C	207.5
YGL108C	
YGL110C	97.0
YGL111W	149.5
YGL112C	125.5
YGL113W	
YGL115W	256.5
YGL116W	55.5
YGL119W	68.0
YGL120C	595.5
YGL122C	1009.0
YGL124C	
YGL125W	
YGL126W	167.0
YGL127C	106.5
YGL128C	
YGL129C	196.0
YGL130W	81.0
YGL131C	
YGL133W	70.5
YGL134W	
YGL135W	8127.0
YGL137W	1406.5
YGL139W	61.0
YGL140C	73.5
YGL141W	
YGL143C	
YGL145W	85.5
YGL147C	4414.5
YGL148W	655.0
YGL150C	95.5
YGL151W	104.0
YGL153W	53.5
YGL155W	
YGL156W	
YGL157W	215.0
YGL161C	
YGL162W	
YGL163C	
YGL164C	73.5
YGL166W	
YGL167C	642.0
YGL169W	77.5
YGL172W	284.0
YGL173C	998.5
YGL174W	49.5
YGL175C	
YGL178W	122.5
YGL180W	
YGL181W	149.0
YGL184C	
YGL185C	
YGL186C	
YGL187C	367.5
YGL189C	8522.5
YGL190C	112.0
YGL194C	108.5
YGL195W	1122.0
YGL197W	
YGL200C	1116.0
YGL201C	204.5
YGL202W	1135.0
YGL203C	321.0
YGL206C	1657.5
YGL207W	919.5
YGL209W	
YGL210W	206.5
YGL211W	
YGL212W	116.5
YGL213C	160.0
YGL216W	112.5
YGL219C	
YGL220W	97.5
YGL221C	81.0
YGL222C	152.0
YGL223C	97.5
YGL225W	2103.0
YGL226C-A	
YGL226W	
YGL227W	
YGL229C	72.0
YGL231C	175.0
YGL232W	
YGL233W	95.5
YGL234W	1680.0
YGL237C	
YGL238W	489.0
YGL240W	
YGL241W	
YGL244W	286.0
YGL245W	2527.0
YGL246C	114.5
YGL247W	
YGL249W	
YGL250W	
YGL252C	245.5
YGL253W	10709.0
YGL254W	
YGL255W	
YGL256W	
YGR001C	496.5
YGR002C	53.0
YGR003W	
YGR004W	
YGR007W	173.0
YGR008C	443.0
YGR010W	
YGR012W	61.0
YGR013W	
YGR014W	413.0
YGR015C	
YGR017W	124.0
YGR019W	275.5
YGR020C	1427.5
YGR021W	76.5
YGR024C	65.5
YGR026W	780.0
YGR027C	6131.5
YGR028W	54.0
YGR030C	98.0
YGR031W	139.0
YGR033C	
YGR034W	6585.0
YGR036C	136.5
YGR037C	2208.0
YGR038W	153.0
YGR040W	
YGR041W	
YGR042W	
YGR043C	
YGR044C	
YGR046W	
YGR047C	
YGR048W	185.0
YGR049W	
YGR052W	
YGR055W	2006.0
YGR058W	
YGR060W	2578.5
YGR061C	2292.0
YGR062C	
YGR063C	512.5
YGR065C	146.0
YGR068C	
YGR071C	
YGR072W	97.5
YGR074W	106.0
YGR075C	86.0
YGR076C	70.0
YGR078C	270.0
YGR080W	80.5
YGR081C	236.5
YGR082W	582.5
YGR083C	562.5
YGR084C	295.5
YGR085C	4547.0
YGR086C	1916.5
YGR087C	
YGR088W	
YGR089W	
YGR090W	425.0
YGR091W	
YGR092W	160.0
YGR093W	
YGR094W	2485.0
YGR095C	236.0
YGR096W	
YGR097W	
YGR098C	
YGR100W	
YGR101W	
YGR102C	
YGR103W	519.5
YGR104C	
YGR105W	117.5
YGR106C	1078.5
YGR108W	
YGR111W	64.0
YGR112W	
YGR116W	488.5
YGR117C	87.5
YGR118W	1729.0
YGR119C	324.5
YGR120C	60.0
YGR121C	
YGR122W	
YGR123C	314.0
YGR124W	2109.5
YGR125W	54.0
YGR126W	
YGR128C	723.5
YGR129W	
YGR130C	461.5
