Accession number	Control (copies/cell Spectral counts)
YP_001905.1	5
YP_002426.1	2
YP_000067.1	2
YP_000004.1	
YP_000026.1	
YP_000076.1	
YP_000082.1	
YP_000090.1	
YP_000139.1	
YP_000281.1	
YP_000330.1	
YP_000362.1	
YP_000385.1	
YP_000504.1	
YP_000589.1	
YP_000690.1	
YP_000746.1	
YP_000771.1	
YP_000887.1	
YP_000890.1	
YP_001056.1	
YP_001105.1	
YP_001155.1	
YP_001181.1	
YP_001182.1	
YP_001215.1	
YP_001251.1	
YP_001302.1	
YP_001438.1	
YP_001443.1	
YP_001610.1	
YP_001614.1	
YP_001634.1	
YP_001648.1	
YP_001658.1	
YP_001717.1	
YP_001821.1	
YP_001863.1	
YP_001864.1	
YP_002238.1	
YP_002244.1	
YP_002305.1	
YP_002398.1	
YP_002422.1	
YP_002475.1	
YP_002562.1	
YP_002566.1	
YP_002572.1	
YP_002590.1	
YP_002630.1	
YP_002915.1	
YP_002955.1	
YP_002977.1	
YP_002990.1	
YP_003005.1	
YP_003145.1	
YP_003154.1	
YP_003179.1	
YP_003181.1	
YP_003185.1	
YP_003190.1	
YP_003217.1	
YP_003224.1	
YP_003238.1	
YP_003284.1	
YP_003290.1	
YP_003338.1	
YP_003426.1	
YP_003443.1	
YP_003478.1	
YP_003501.1	
YP_003559.1	
YP_003589.1	
YP_003629.1	
YP_002187.1	
YP_002360.1	
YP_000952.1	
YP_000161.1	
YP_000267.1	
YP_000312.1	
YP_000980.1	
YP_001049.1	
YP_001141.1	
YP_001175.1	
YP_001603.1	
YP_001695.1	
YP_001798.1	
YP_001870.1	
YP_001968.1	
YP_001999.1	
YP_002399.1	
YP_002519.1	
YP_002897.1	
YP_002941.1	
YP_002942.1	
YP_002961.1	
YP_003056.1	
YP_003156.1	
YP_003333.1	
YP_003505.1	
YP_003570.1	
YP_001359.1	
YP_000747.1	
YP_001237.1	
YP_001330.1	
YP_001790.1	
YP_002297.1	
YP_000997.1	
YP_001179.1	
YP_001632.1	
YP_001976.1	
YP_002272.1	
YP_002367.1	
YP_003054.1	
YP_003577.1	
YP_001442.1	
YP_001770.1	
YP_002160.1	
YP_002216.1	
YP_002643.1	
YP_000135.1	
YP_001589.1	
YP_002820.1	
YP_000253.1	
YP_000588.1	
YP_001524.1	
YP_002001.1	
YP_000682.1	
YP_000960.1	
YP_001142.1	
YP_001837.1	
YP_000481.1	
YP_001869.1	
YP_002494.1	
YP_000679.1	
YP_003600.1	
YP_002557.1	
YP_000187.1	
YP_002510.1	
YP_002620.1	
YP_003430.1	
YP_000057.1	
YP_002437.1	
YP_003464.1	
YP_000785.1	
YP_003660.1	
YP_002567.1	
YP_000078.1	
YP_000400.1	
YP_000379.1	
YP_002635.1	
YP_003620.1	
YP_003554.1	
YP_002950.1	
YP_000654.1	
YP_001430.1	
YP_002127.1	
YP_003048.1	
YP_001271.1	
YP_001453.1	
YP_001249.1	
YP_000472.1	
YP_001842.1	
YP_002413.1	
YP_003248.1	
YP_000638.1	
YP_001767.1	
YP_002637.1	
YP_000434.1	
YP_000717.1	
YP_002242.1	
YP_000801.1	
YP_000086.1	
YP_001852.1	
YP_000357.1	
YP_001448.1	
YP_002823.1	
YP_003320.1	
YP_002852.1	
YP_001694.1	
YP_002885.1	
YP_000008.1	
YP_000010.1	
YP_000015.1	
YP_000025.1	
YP_000027.1	
YP_000033.1	
YP_000034.1	
YP_000036.1	
YP_000042.1	
YP_000044.1	
YP_000047.1	
YP_000056.1	
YP_000061.1	
YP_000062.1	
YP_000070.1	
YP_000080.1	
YP_000081.1	
YP_000084.1	
YP_000085.1	
YP_000097.1	
YP_000100.1	
YP_000104.1	
YP_000105.1	
YP_000106.1	
YP_000107.1	
YP_000112.1	
YP_000125.1	
YP_000129.1	
YP_000142.1	
YP_000146.1	
YP_000156.1	
YP_000162.1	
YP_000163.1	
YP_000164.1	
YP_000170.1	
YP_000171.1	
YP_000174.1	
YP_000176.1	
YP_000179.1	
YP_000188.1	
YP_000203.1	
YP_000204.1	
YP_000208.1	
YP_000214.1	
YP_000220.1	
YP_000230.1	
YP_000231.1	
YP_000233.1	
YP_000234.1	
YP_000237.1	
YP_000238.1	
YP_000241.1	
YP_000252.1	
YP_000263.1	
YP_000265.1	
YP_000266.1	
YP_000269.1	
YP_000282.1	
YP_000286.1	
YP_000293.1	
YP_000294.1	
YP_000295.1	
YP_000296.1	
YP_000298.1	
YP_000302.1	
YP_000303.1	
YP_000309.1	
YP_000310.1	
YP_000314.1	
YP_000318.1	
YP_000319.1	
YP_000320.1	
YP_000324.1	
YP_000325.1	
YP_000328.1	
YP_000331.1	
YP_000332.1	
YP_000335.1	
YP_000341.1	
YP_000344.1	
YP_000345.1	
YP_000351.1	
YP_000356.1	
YP_000360.1	
YP_000365.1	
YP_000367.1	
YP_000371.1	
YP_000374.1	
YP_000378.1	
YP_000380.1	
YP_000383.1	
YP_000386.1	
YP_000387.1	
YP_000393.1	
YP_000394.1	
YP_000396.1	
YP_000398.1	
YP_000402.1	
YP_000403.1	
YP_000404.1	
YP_000408.1	
YP_000409.1	
YP_000410.1	
YP_000420.1	
YP_000421.1	
YP_000423.1	
YP_000427.1	
YP_000433.1	
YP_000437.1	
YP_000438.1	
YP_000439.1	
YP_000440.1	
YP_000441.1	
YP_000446.1	
YP_000451.1	
YP_000452.1	
YP_000453.1	
YP_000455.1	
YP_000458.1	
YP_000460.1	
YP_000461.1	
YP_000463.1	
YP_000464.1	
YP_000465.1	
YP_000471.1	
YP_000473.1	
YP_000477.1	
YP_000480.1	
YP_000484.1	
YP_000488.1	
YP_000490.1	
YP_000495.1	
YP_000498.1	
YP_000499.1	
YP_000500.1	
YP_000514.1	
YP_000519.1	
YP_000520.1	
YP_000523.1	
YP_000524.1	
YP_000526.1	
YP_000539.1	
YP_000540.1	
YP_000544.1	
YP_000550.1	
YP_000551.1	
YP_000553.1	
YP_000556.1	
YP_000559.1	
YP_000561.1	
YP_000568.1	
YP_000569.1	
YP_000574.1	
YP_000579.1	
YP_000581.1	
YP_000593.1	
YP_000595.1	
YP_000597.1	
YP_000598.1	
YP_000603.1	
YP_000611.1	
YP_000614.1	
YP_000622.1	
YP_000623.1	
YP_000626.1	
YP_000631.1	
YP_000633.1	
YP_000634.1	
YP_000635.1	
YP_000637.1	
YP_000643.1	
YP_000644.1	
YP_000653.1	
YP_000658.1	
YP_000671.1	
YP_000672.1	
YP_000675.1	
YP_000677.1	
YP_000678.1	
YP_000680.1	
YP_000681.1	
YP_000685.1	
YP_000686.1	
YP_000687.1	
YP_000691.1	
YP_000692.1	
YP_000693.1	
YP_000700.1	
YP_000704.1	
YP_000709.1	
YP_000711.1	
YP_000726.1	
YP_000737.1	
YP_000738.1	
YP_000756.1	
YP_000757.1	
YP_000758.1	
YP_000759.1	
YP_000762.1	
YP_000765.1	
YP_000773.1	
YP_000775.1	
YP_000782.1	
YP_000787.1	
YP_000788.1	
YP_000793.1	
YP_000795.1	
YP_000796.1	
YP_000797.1	
YP_000799.1	
YP_000800.1	
YP_000804.1	
YP_000806.1	
YP_000808.1	
YP_000809.1	
YP_000810.1	
YP_000816.1	
YP_000817.1	
YP_000826.1	
YP_000838.1	
YP_000841.1	
YP_000842.1	
YP_000843.1	
YP_000844.1	
YP_000845.1	
YP_000846.1	
