Accession number	Control (copies/cell MS1)
YP_000404.1	
YP_000408.1	
YP_000409.1	
YP_000410.1	
YP_000420.1	
YP_000421.1	
YP_000423.1	
YP_000427.1	
YP_000433.1	
YP_000437.1	
YP_000438.1	
YP_000439.1	
YP_000440.1	
YP_000441.1	
YP_000446.1	
YP_000451.1	
YP_000452.1	
YP_000453.1	
YP_000455.1	
YP_000458.1	
YP_000460.1	
YP_000461.1	
YP_000463.1	
YP_000464.1	
YP_000465.1	
YP_000471.1	
YP_000473.1	
YP_000477.1	
YP_000480.1	
YP_000484.1	
YP_000488.1	
YP_000490.1	
YP_000495.1	
YP_000498.1	
YP_000499.1	
YP_000500.1	
YP_000514.1	
YP_000519.1	
YP_000520.1	
YP_000523.1	
YP_000524.1	
YP_000526.1	
YP_000539.1	
YP_000540.1	
YP_000544.1	
YP_000550.1	
YP_000551.1	
YP_000553.1	
YP_000556.1	
YP_000559.1	
YP_000561.1	
YP_000568.1	
YP_000569.1	
YP_000574.1	
YP_000579.1	
YP_000581.1	
YP_000593.1	
YP_000595.1	
YP_000597.1	
YP_000598.1	
YP_000603.1	
YP_000611.1	
YP_000614.1	
YP_000622.1	
YP_000623.1	
YP_000626.1	
YP_000631.1	
YP_000633.1	
YP_000634.1	
YP_000635.1	
YP_000637.1	
YP_000643.1	
YP_000644.1	
YP_000653.1	
YP_000658.1	
YP_000671.1	
YP_000672.1	
YP_000675.1	
YP_000677.1	
YP_000678.1	
YP_000680.1	
YP_000681.1	
YP_000685.1	
YP_000686.1	
YP_000687.1	
YP_000691.1	
YP_000692.1	
YP_000693.1	
YP_000700.1	
YP_000704.1	
YP_000709.1	
YP_000711.1	
YP_000726.1	
YP_000737.1	
YP_000738.1	
YP_000756.1	
YP_000757.1	
YP_000758.1	
YP_000759.1	
YP_000762.1	
YP_000765.1	
YP_000773.1	
YP_000775.1	
YP_000782.1	
YP_000787.1	
YP_000788.1	
YP_000793.1	
YP_000795.1	
YP_000796.1	
YP_000797.1	
YP_000799.1	
YP_000800.1	
YP_000804.1	
YP_000806.1	
YP_000808.1	
YP_000809.1	
YP_000810.1	
YP_000816.1	
YP_000817.1	
YP_000826.1	
YP_000838.1	
YP_000841.1	
YP_000842.1	
YP_000843.1	
YP_000844.1	
YP_000845.1	
YP_000846.1	
YP_000847.1	
YP_000848.1	
YP_000849.1	
YP_000857.1	
YP_000859.1	
YP_000870.1	
YP_000871.1	
YP_000872.1	
YP_000874.1	
YP_000876.1	
YP_000880.1	
YP_000882.1	
YP_000883.1	
YP_000884.1	
YP_000885.1	
YP_000886.1	
YP_000889.1	
YP_000892.1	
YP_000896.1	
YP_000899.1	
YP_000901.1	
YP_000907.1	
YP_000908.1	
YP_000911.1	
YP_000913.1	
YP_000914.1	
YP_000915.1	
YP_000916.1	
YP_000917.1	
YP_000918.1	
YP_000919.1	
YP_000920.1	
YP_000925.1	
YP_000927.1	
YP_000928.1	
YP_000930.1	
YP_000931.1	
YP_000934.1	
YP_000936.1	
YP_000937.1	
YP_000939.1	
YP_000945.1	
YP_000953.1	
YP_000969.1	
YP_000971.1	
YP_000987.1	
YP_000992.1	
YP_000999.1	
YP_001003.1	
YP_001004.1	
YP_001011.1	
YP_001012.1	
YP_001013.1	
YP_001014.1	
YP_001017.1	
YP_001019.1	
YP_001022.1	
YP_001023.1	
YP_001025.1	
YP_001026.1	
